Id;Election_Id;Wahlkreis_Id;Person_Id;Amount
1;1;1;NULL;4117
2;1;1;12013;52139
3;1;1;9758;61793
4;1;1;11177;15292
5;1;1;1693;11918
6;1;1;11081;16399
7;1;1;11697;1302
8;1;1;10498;369
9;1;2;NULL;3382
10;1;2;10042;36642
11;1;2;2270;56751
12;1;2;3460;15184
13;1;2;11866;8208
14;1;2;11619;12840
15;1;2;10530;1231
16;1;2;9599;433
17;1;3;NULL;3348
18;1;3;11790;37277
19;1;3;10679;49779
20;1;3;10672;16037
21;1;3;9877;8896
22;1;3;11864;10665
23;1;3;11260;1603
24;1;3;11172;715
25;1;4;NULL;3404
26;1;4;3132;47610
27;1;4;4105;58876
28;1;4;83;14317
29;1;4;1790;8729
30;1;4;10940;14790
31;1;4;3367;1344
32;1;4;11789;948
33;1;5;NULL;3442
34;1;5;9649;54398
35;1;5;11236;42733
36;1;5;342;12188
37;1;5;11007;11817
38;1;5;11140;18699
39;1;5;10271;1392
40;1;5;11986;814
41;1;6;NULL;3292
42;1;6;2402;41683
43;1;6;11065;48136
44;1;6;4360;12515
45;1;6;10315;7871
46;1;6;10109;12187
47;1;6;10882;1363
48;1;6;3335;924
49;1;7;NULL;3384
50;1;7;3185;54950
51;1;7;3516;70458
52;1;7;1886;17018
53;1;7;9815;11794
54;1;7;4309;16143
55;1;7;3772;1912
56;1;7;10432;529
57;1;8;NULL;3674
58;1;8;3944;54065
59;1;8;3846;70290
60;1;8;748;20084
61;1;8;9694;12527
62;1;8;11723;16633
63;1;8;11431;1797
64;1;8;11453;1225
65;1;9;NULL;4043
66;1;9;1284;43765
67;1;9;1034;49363
68;1;9;11640;14397
69;1;9;10344;8235
70;1;9;1001;10411
71;1;9;11803;1270
72;1;9;10495;433
73;1;10;NULL;3884
74;1;10;11816;53073
75;1;10;415;70874
76;1;10;10310;19742
77;1;10;293;12351
78;1;10;2752;18761
79;1;10;11129;2330
80;1;10;10576;553
81;1;11;NULL;3524
82;1;11;10406;44393
83;1;11;10028;36745
84;1;11;10963;13296
85;1;11;11794;10973
86;1;11;10683;14098
87;1;11;4376;1595
88;1;12;NULL;2507
89;1;12;9740;36134
90;1;12;3862;44260
91;1;12;9811;11464
92;1;12;9837;41449
93;1;12;3632;7840
94;1;12;1996;4699
95;1;12;10582;116
96;1;13;NULL;2440
97;1;13;1266;28275
98;1;13;2592;45462
99;1;13;9592;10106
100;1;13;9653;40228
101;1;13;10149;6601
102;1;13;11151;4239
103;1;14;NULL;2402
104;1;14;1903;29052
105;1;14;3788;41161
106;1;14;3064;9931
107;1;14;348;46323
108;1;14;11771;15050
109;1;14;11863;3681
110;1;14;11867;554
111;1;14;11258;1113
112;1;15;NULL;2632
113;1;15;3777;19090
114;1;15;2508;70329
115;1;15;2248;8491
116;1;15;10847;40081
117;1;15;9772;6757
118;1;15;9769;4115
119;1;15;19;2718
120;1;16;NULL;3498
121;1;16;10045;22994
122;1;16;2279;52897
123;1;16;154;11746
124;1;16;11340;46343
125;1;16;10599;5412
126;1;16;56;8369
127;1;16;11262;2175
128;1;17;NULL;2988
129;1;17;10921;25869
130;1;17;11282;47714
131;1;17;11527;9731
132;1;17;340;40987
133;1;17;10925;5166
134;1;17;3896;4698
135;1;17;10602;316
136;1;17;10881;1149
137;1;18;NULL;2660
138;1;18;11202;56125
139;1;18;11213;43306
140;1;18;2061;12700
141;1;18;10669;21173
142;1;18;10919;26261
143;1;18;2655;2341
144;1;19;NULL;1552
145;1;19;1739;47298
146;1;19;10016;39303
147;1;19;10285;10655
148;1;19;9731;13206
149;1;19;11043;18888
150;1;19;11328;780
151;1;20;NULL;1881
152;1;20;11541;33272
153;1;20;4203;43661
154;1;20;11748;11712
155;1;20;11042;12484
156;1;20;862;36381
157;1;20;11998;967
158;1;20;11418;1292
159;1;21;NULL;1821
160;1;21;10486;53469
161;1;21;2116;61873
162;1;21;2660;12766
163;1;21;3558;10805
164;1;21;11410;21268
165;1;21;11597;1010
166;1;22;NULL;2126
167;1;22;560;51460
168;1;22;902;53958
169;1;22;9735;11408
170;1;22;11097;14021
171;1;22;11141;13914
172;1;22;9654;1972
173;1;23;NULL;2355
174;1;23;770;54965
175;1;23;1922;46303
176;1;23;12008;10727
177;1;23;11576;14430
178;1;23;11808;11728
179;1;23;3262;2111
180;1;24;NULL;2439
181;1;24;10617;57876
182;1;24;11055;33706
183;1;24;744;9314
184;1;24;11341;13213
185;1;24;3259;14451
186;1;24;12062;1886
187;1;25;NULL;2392
188;1;25;9965;47481
189;1;25;10340;73405
190;1;25;9898;15470
191;1;25;10343;12062
192;1;25;1589;11981
193;1;25;11877;1862
194;1;26;NULL;2630
195;1;26;9766;51851
196;1;26;583;42211
197;1;26;1149;12283
198;1;26;1723;12055
199;1;26;10817;9794
200;1;26;11750;1911
201;1;27;NULL;1891
202;1;27;843;49020
203;1;27;1761;55610
204;1;27;2502;13840
205;1;27;10584;14080
206;1;27;11657;21651
207;1;27;10600;1548
208;1;28;NULL;1970
209;1;28;11062;55374
210;1;28;10685;56273
211;1;28;3020;16163
212;1;28;10218;13751
213;1;28;2492;14446
214;1;28;10985;2346
215;1;28;12041;1261
216;1;29;NULL;1902
217;1;29;11139;50481
218;1;29;1210;51654
219;1;29;487;10426
220;1;29;9688;10307
221;1;29;10640;8379
222;1;29;9870;1828
223;1;30;NULL;1690
224;1;30;10732;46851
225;1;30;881;62035
226;1;30;10017;9946
227;1;30;11555;9096
228;1;30;9587;9409
229;1;30;4136;2349
230;1;30;9917;431
231;1;31;NULL;1775
232;1;31;11964;43503
233;1;31;10715;91378
234;1;31;3983;13278
235;1;31;9945;8195
236;1;31;10684;9819
237;1;31;9888;1130
238;1;32;NULL;1708
239;1;32;11701;28053
240;1;32;10738;91686
241;1;32;9813;12700
242;1;32;10739;6927
243;1;32;10132;6575
244;1;32;10446;1286
245;1;33;NULL;1646
246;1;33;1203;48313
247;1;33;1581;52599
248;1;33;988;15928
249;1;33;11436;9775
250;1;33;9933;11917
251;1;33;10979;1660
252;1;34;NULL;1642
253;1;34;10694;52397
254;1;34;1945;53080
255;1;34;10157;10787
256;1;34;11839;12242
257;1;34;10364;12318
258;1;34;11625;2417
259;1;35;NULL;1702
260;1;35;11742;42395
261;1;35;2443;48344
262;1;35;11440;9895
263;1;35;230;8366
264;1;35;10276;9101
265;1;35;10366;2138
266;1;36;NULL;1976
267;1;36;1923;45002
268;1;36;1191;59657
269;1;36;11825;15812
270;1;36;10735;9611
271;1;36;1869;13772
272;1;36;9682;1935
273;1;37;NULL;1695
274;1;37;10237;40411
275;1;37;1206;43229
276;1;37;414;11242
277;1;37;11570;11935
278;1;37;10116;19645
279;1;37;11720;1860
280;1;37;11802;1449
281;1;38;NULL;1706
282;1;38;2332;46028
283;1;38;2935;63175
284;1;38;9850;12940
285;1;38;4097;9006
286;1;38;10958;10393
287;1;38;9704;1382
288;1;39;NULL;1584
289;1;39;3727;46979
290;1;39;11469;54522
291;1;39;3633;14823
292;1;39;9790;9918
293;1;39;11120;14282
294;1;39;1411;945
295;1;40;NULL;1706
296;1;40;3594;58649
297;1;40;2552;52714
298;1;40;11784;8712
299;1;40;10545;8797
300;1;40;3795;10217
301;1;40;11525;2036
302;1;40;11722;567
303;1;41;NULL;1556
304;1;41;765;50592
305;1;41;12038;42621
306;1;41;11564;9699
307;1;41;10941;10624
308;1;41;1852;13364
309;1;41;9746;1759
310;1;42;NULL;1655
311;1;42;3904;55068
312;1;42;11160;44534
313;1;42;12003;8657
314;1;42;10417;12886
315;1;42;10111;15797
316;1;42;10596;1573
317;1;43;NULL;2251
318;1;43;533;67178
319;1;43;2261;66311
320;1;43;687;14560
321;1;43;9931;11173
322;1;43;11962;11642
323;1;43;9602;2642
324;1;44;NULL;1991
325;1;44;2422;50107
326;1;44;10797;68572
327;1;44;1644;11351
328;1;44;11396;10130
329;1;44;10626;10801
330;1;44;9834;2501
331;1;45;NULL;2012
332;1;45;2351;64365
333;1;45;2800;58827
334;1;45;4016;10073
335;1;45;11616;11663
336;1;45;9820;9476
337;1;45;364;2029
338;1;45;11370;1346
339;1;46;NULL;2203
340;1;46;1401;55842
341;1;46;10595;49787
342;1;46;10084;10401
343;1;46;769;11820
