Id;Title;Firstname;Lastname
1;NULL;Per Lennart;Aae
2;NULL;Ali;Abed-Ali
3;NULL;Klaus-Dieter;Abend
4;NULL;Claus;Ableiter
5;NULL;Ulrich Herbert;Abramowski
6;NULL;Susanne Brigitte;Abwander
7;NULL;Moussa;Acharki
8;NULL;Markus Franz-Xaver;Achatz
9;NULL;Ulrich;Achenbach
10;NULL;Jens;Ackermann
11;Dr.;Konrad;Adam
12;NULL;Heino;Adams
13;NULL;Heinrich Martin;Adams
14;NULL;Wilfried;Adamy
15;NULL;Eckhard;Aden
16;NULL;Annelies Brigitte;Adler
17;NULL;Günter-Hans;Adler
18;NULL;Otto Peter;Adler
19;NULL;Michael Harald;Adomeit
20;NULL;Michael;Aggelidis
21;NULL;Brigitte Inge;Ahlgrim
22;NULL;Tanja Melanie Carolin;Ahmed
23;NULL;Roland;Aicher
24;NULL;Hamide;Akbayir
25;NULL;Jan Paul;Aken van
26;NULL;Mustafa;Akpolat
27;NULL;Ali Abass Yahya;Al-Dailami
28;NULL;Stefan;Albanesi
29;NULL;Stephan;Albani
30;NULL;Gerald Hermann;Albe
31;NULL;Frank;Albrecht
32;NULL;Frank;Albrecht
33;NULL;Karolina;Albrecht
34;NULL;Peter;Albrecht
35;Prof.;Erich Willy;Albrecht
36;NULL;Katrin;Albsteiger
37;NULL;Christian;Alkemper
38;NULL;Moritz;Allwörden von
39;NULL;Alexander;Almonacid Lessmann
40;NULL;Agnes;Alpers
41;NULL;Hülya;Alptekin
42;Dr.;Bernhard;Alscher
43;NULL;Renata;Alt
44;NULL;Karl-Friedrich;Altenkirch
45;NULL;Anne;Alter
46;NULL;Peter;Altmaier
47;NULL;Andreas;Altmann
48;NULL;Gregor;Amann
49;NULL;Harold;Amann
50;NULL;Norbert;Amberger
51;NULL;Rita Helene;Amberger
52;NULL;Gerhard;Ambrosius
53;NULL;Luise;Amtsberg
54;NULL;Tanja;Anaskewitz
55;NULL;Kerstin;Andreae
56;NULL;Michael;Andrejewski
57;NULL;Gabriele Irmgard;Andrian-Werburg Freifrau von
58;NULL;Isabel Denise;Angermair
59;NULL;Fritz-Klaus;Anhäuser
60;NULL;Niels;Annen
61;NULL;Maria;Anneser
62;NULL;Kornelia;Anspach-Papa
63;NULL;Marcus;Anton
64;NULL;Marta;Aparicio de Eckelmann
65;NULL;Rainer Karl-Heinz Hans-Helmut;Apel
66;NULL;Holger;Apfel
67;NULL;Detlef;Appel
68;NULL;Jasmin;Arbabian-Vogel
69;NULL;Dirk Reinhard;Arendt
70;NULL;Marianne;Arens
71;NULL;Gerd;Armbruster
72;NULL;Dörthe;Armstroff
73;NULL;Klaus;Armstroff
74;NULL;Hans;Arndt
75;NULL;Volker Andreas;Arndt
76;NULL;Ingrid;Arndt-Brauer
77;NULL;Bendrick;Arnold
78;NULL;Friedrich Robert;Arnold
79;NULL;Rainer;Arnold
80;NULL;Sascha;Arnold
81;NULL;Kersten Angela;Artus
82;NULL;Pascal;Arweiler
83;NULL;Christine;Aschenberg-Dugnus
84;NULL;Spiridon;Aslanidis
85;NULL;Marcus-Alexander;Assmann
86;NULL;Bodo Dirk;Aßmuth
87;NULL;Ali;Atalan
88;NULL;Artur Friedrich;Auernhammer
89;NULL;Claas;Augner
90;NULL;Marius;Augustin
91;NULL;Klaus;Augustinowski
92;NULL;Reiner;Aulenbacher
93;NULL;Tom Thomas Hans Michael;Aurnhammer
94;NULL;Maik;Außendorf
95;NULL;Jonas;Aust
96;NULL;Werner;Aye
97;NULL;Berivan;Aymaz
98;NULL;Johannes;Baare
99;NULL;Mehmet;Babatankuz
100;NULL;Nadja;Baberowski
101;NULL;Safet;Babic
102;NULL;Raphael;Bablick
103;NULL;Bela;Bach
104;NULL;Sebastian Freimund;Bach
105;NULL;Brigitte;Bachmann
106;NULL;Veronika;Backes
107;NULL;Hartmut;Bade
108;NULL;Jürgen Albert Richard;Bader
109;NULL;Nils;Bader
110;NULL;Lisa;Badum
111;NULL;Christel;Bächle-Blum
112;Dr.;Jürgen;Bähr
113;NULL;Bettina;Bähr-Losse
114;NULL;Heike;Baehrens
115;NULL;Dorothee;Bär
116;NULL;Karl;Bär
117;NULL;Annalena Charlotte Alma;Baerbock
