1;Flensburg   Schleswig
2;Nordfriesland   Dithmarschen Nord
3;Steinburg   Dithmarschen Sued
4;Rendsburg Eckernfoerde
5;Kiel
6;Ploen   Neumuenster
7;Pinneberg
8;Segeberg   Stormarn Mitte
9;Ostholstein   Stormarn Nord
10;Herzogtum Lauenburg   Stormarn Sued
11;Luebeck
12;Schwerin   Ludwigslust Parchim I   Nordwestmecklenburg I
13;Ludwigslust Parchim II   Nordwestmecklenburg II   Landkreis Rostock 
14;Rostock   Landkreis Rostock II
15;Vorpommern Ruegen   Vorpommern Greifswald I
16;Mecklenburgische Seenplatte I   Vorpommern Greifswald II 
17;Mecklenburgische Seenplatte II   Landkreis Rostock III
18;Hamburg Mitte
19;Hamburg Altona
20;Hamburg Eimsbuettel
21;Hamburg Nord
22;Hamburg Wandsbek
23;Hamburg Bergedorf   Harburg
24;Aurich   Emden
25;Unterems
26;Friesland   Wilhelmshaven   Wittmund
27;Oldenburg   Ammerland
28;Delmenhorst   Wesermarsch   Oldenburg Land
29;Cuxhaven   Stade II
30;Stade I   Rotenburg II
31;Mittelems
32;Cloppenburg   Vechta
33;Diepholz   Nienburg I
34;Osterholz   Verden
35;Rotenburg I   Heidekreis
36;Harburg
37;Luechow Dannenberg   Lueneburg
38;Osnabrueck Land
39;Stadt Osnabrueck
40;Nienburg II   Schaumburg
41;Stadt Hannover I
42;Stadt Hannover II
43;Hannover Land I
44;Celle   Uelzen
45;Gifhorn   Peine
46;Hameln Pyrmont   Holzminden
47;Hannover Land II
48;Hildesheim
49;Salzgitter   Wolfenbuettel
50;Braunschweig
51;Helmstedt   Wolfsburg
52;Goslar   Northeim   Osterode
53;Goettingen
54;Bremen I
55;Bremen II   Bremerhaven
56;Prignitz   Ostprignitz Ruppin   Havelland I
57;Uckermark   Barnim I
58;Oberhavel   Havelland II
59;Maerkisch Oderland   Barnim II
60;Brandenburg an der Havel   Potsdam Mittelmark I   Havelland III   Teltow Flaeming I
61;Potsdam   Potsdam Mittelmark II   Teltow Flaeming II
