Person_Id;Election_Id;Bundesland_Id;Position
2;2;11;53
4;2;7;14
5;2;3;2
6;2;9;20
7;2;5;2
8;2;9;23
9;2;5;9
10;1;15;2
10;2;15;2
11;2;6;1
12;2;2;8
16;2;15;6
18;2;2;3
22;2;9;22
23;2;9;43
25;2;2;1
26;2;2;7
27;2;6;6
29;2;3;5
30;2;16;4
31;2;5;4
32;1;5;43
33;2;9;12
34;2;5;12
35;2;6;18
36;2;9;30
37;2;8;11
40;1;4;1
40;2;4;1
41;2;8;5
42;2;7;4
43;2;8;19
44;2;10;8
45;2;2;2
46;1;10;1
46;2;10;1
47;2;9;35
48;1;6;13
48;2;6;29
49;2;9;15
50;2;7;20
51;2;9;7
52;1;10;2
52;2;10;5
53;2;1;1
54;2;12;3
55;1;8;1
55;2;8;1
56;2;13;2
57;2;9;26
58;2;9;5
59;2;7;12
60;2;2;4
61;2;9;21
62;1;10;9
62;2;10;9
63;2;8;5
64;1;8;7
65;2;6;6
66;2;14;1
67;1;12;8
68;2;3;32
69;2;13;7
70;2;6;1
71;2;7;17
72;1;7;1
74;2;7;8
75;2;9;20
76;1;5;10
76;2;5;6
77;2;9;12
78;2;5;21
79;1;8;10
79;2;8;5
81;2;2;5
82;2;10;6
83;1;1;4
83;2;1;5
84;2;1;8
85;2;6;16
86;2;5;21
88;1;9;31
88;2;9;34
89;2;11;10
91;2;5;3
92;1;10;1
92;2;10;4
93;2;9;30
94;2;5;36
96;2;5;10
98;2;6;15
100;2;14;5
101;1;7;2
101;2;7;3
102;2;9;24
103;2;9;32
104;2;16;9
105;2;9;34
106;1;6;36
106;2;6;46
107;2;11;8
108;2;2;2
109;2;3;53
110;1;9;15
110;2;9;13
111;2;8;2
112;2;12;5
113;2;5;36
114;2;8;16
115;1;9;7
115;2;9;6
116;1;9;12
116;2;9;14
117;2;12;1
119;2;3;15
120;2;5;19
121;2;7;3
122;1;8;7
122;2;8;11
123;2;16;6
125;1;5;8
125;2;5;2
126;2;9;16
127;2;5;5
129;2;8;8
130;2;2;3
131;1;2;1
131;2;2;2
132;2;2;3
133;1;7;17
133;2;7;24
134;2;5;2
136;2;8;25
137;2;2;10
138;2;13;7
140;1;9;18
141;2;9;41
142;2;11;1
143;2;5;11
144;1;3;11
144;2;3;19
147;2;5;8
148;2;9;11
149;2;9;46
150;2;7;7
151;1;7;3
151;2;7;5
152;2;9;13
153;2;1;7
154;1;13;4
154;2;13;4
155;1;4;7
155;2;4;5
156;1;8;30
156;2;8;44
157;1;9;5
157;2;9;5
159;1;7;3
