Person_Id;Election_Id;Party_Id
1;1;8
1;2;8
2;2;30
3;2;3
4;2;27
5;2;22
6;2;18
7;2;23
8;2;27
9;2;19
10;1;3
10;2;3
11;2;22
12;2;14
13;2;22
14;2;7
15;2;8
16;2;8
17;2;8
18;2;8
19;1;36
19;2;36
20;2;4
21;2;36
22;2;18
23;2;10
24;2;4
25;2;4
26;2;7
27;2;4
28;1;4
28;2;4
29;2;1
30;2;7
31;2;29
32;1;3
32;2;3
33;2;18
34;2;29
35;2;22
36;2;6
37;2;7
38;2;7
39;2;7
40;1;4
40;2;4
41;2;23
42;2;27
43;2;3
44;2;3
45;2;7
46;1;1
46;2;1
47;2;27
48;1;2
48;2;2
49;2;15
50;2;11
51;2;29
52;1;8
52;2;8
53;2;5
54;2;24
55;1;5
55;2;5
56;1;8
56;2;8
57;2;18
58;2;18
59;2;22
60;2;2
61;2;5
62;1;1
62;2;1
63;2;29
64;1;4
64;2;4
65;2;17
66;2;8
67;1;8
67;2;8
68;2;2
69;2;8
70;2;21
71;2;2
72;1;8
72;2;8
73;2;8
74;2;27
75;2;7
76;1;2
76;2;2
77;2;19
78;2;7
79;1;2
79;2;2
80;2;8
81;2;4
82;2;2
83;1;3
83;2;3
84;2;5
85;2;30
86;2;22
87;2;4
88;1;6
88;2;6
89;2;30
90;2;34
91;2;20
92;1;19
92;2;19
93;2;5
94;2;5
95;2;7
96;2;11
97;2;5
98;2;22
99;2;36
100;2;7
101;1;8
101;2;8
102;2;27
103;2;2
104;2;4
105;2;2
106;1;1
106;2;1
107;2;3
108;2;19
109;2;2
110;1;5
110;2;5
111;2;27
112;2;27
113;2;2
114;2;2
115;1;6
115;2;6
116;1;5
116;2;5
117;2;5
118;2;7
119;2;7
120;2;4
121;2;2
122;1;19
122;2;19
123;2;8
124;2;22
125;1;3
125;2;3
126;2;2
127;2;10
128;2;8
129;2;23
130;2;14
131;1;14
131;2;14
132;2;19
133;1;11
133;2;11
134;2;22
135;2;7
136;2;27
