Id;Election_Id;Party_Id;Wahlkreis_Id;Amount
1;1;NULL;1;4181
2;1;2;1;61793
3;1;1;1;15292
4;1;3;1;11918
5;1;4;1;16399
6;1;6;1;1302
7;1;20;1;369
8;1;33;1;159
9;1;13;1;1821
10;1;NULL;2;3218
11;1;2;2;56751
12;1;1;2;15184
13;1;3;2;8208
14;1;4;2;12840
15;1;6;2;1231
16;1;33;2;194
17;1;13;2;1293
18;1;NULL;3;3030
19;1;2;3;49779
20;1;1;3;16037
21;1;3;3;8896
22;1;4;3;10665
23;1;6;3;1603
24;1;33;3;142
25;1;13;3;1604
26;1;NULL;4;3026
27;1;2;4;58876
28;1;1;4;14317
29;1;3;4;8729
30;1;4;4;14790
31;1;6;4;1344
32;1;33;4;136
33;1;13;4;1540
34;1;NULL;5;2263
35;1;2;5;42733
36;1;1;5;12188
37;1;3;5;11817
38;1;4;5;18699
39;1;6;5;1392
40;1;33;5;139
41;1;13;5;1448
42;1;NULL;6;3031
43;1;2;6;48136
44;1;1;6;12515
45;1;3;6;7871
46;1;4;6;12187
47;1;6;6;1363
48;1;33;6;131
49;1;13;6;1095
50;1;NULL;7;3193
51;1;2;7;70458
52;1;1;7;17018
53;1;3;7;11794
54;1;4;7;16143
55;1;6;7;1912
56;1;33;7;193
57;1;13;7;1571
58;1;NULL;8;3303
59;1;2;8;70290
60;1;1;8;20084
61;1;3;8;12527
62;1;4;8;16633
63;1;6;8;1797
64;1;33;8;233
65;1;13;8;1814
66;1;NULL;9;3094
67;1;2;9;49363
68;1;1;9;14397
69;1;3;9;8235
70;1;4;9;10411
71;1;6;9;1270
72;1;33;9;132
73;1;13;9;1178
74;1;NULL;10;3259
75;1;2;10;70874
76;1;1;10;19742
77;1;3;10;12351
78;1;4;10;18761
79;1;6;10;2330
80;1;33;10;204
81;1;38;10;553
82;1;13;10;1445
83;1;NULL;11;3284
84;1;2;11;36745
85;1;1;11;13296
86;1;3;11;10973
87;1;4;11;14098
88;1;6;11;1595
89;1;33;11;144
90;1;13;11;1197
91;1;NULL;12;2122
92;1;2;12;44260
93;1;1;12;11464
94;1;3;12;41449
95;1;4;12;7840
96;1;6;12;4699
97;1;NULL;13;2155
98;1;2;13;45462
99;1;1;13;10106
100;1;3;13;40228
101;1;4;13;6601
102;1;6;13;4239
103;1;27;13;133
104;1;NULL;14;2115
105;1;2;14;41161
106;1;1;14;9931
107;1;3;14;46323
108;1;4;14;15050
109;1;6;14;3681
110;1;16;14;554
111;1;27;14;74
112;1;NULL;15;2761
113;1;2;15;70329
114;1;1;15;8491
115;1;3;15;40081
116;1;4;15;6757
117;1;6;15;4115
118;1;NULL;16;3085
119;1;2;16;52897
120;1;1;16;11746
121;1;3;16;46343
122;1;4;16;5412
123;1;6;16;8369
124;1;NULL;17;2671
125;1;2;17;47714
126;1;1;17;9731
127;1;3;17;40987
128;1;4;17;5166
129;1;6;17;4698
130;1;27;17;316
131;1;NULL;18;2033
132;1;2;18;43306
133;1;1;18;12700
134;1;3;18;21173
135;1;4;18;26261
136;1;6;18;2341
137;1;33;18;243
138;1;13;18;1171
139;1;NULL;19;1358
140;1;2;19;39303
141;1;1;19;10655
142;1;3;19;13206
143;1;4;19;18888
144;1;6;19;780
145;1;16;19;158
146;1;19;19;151
147;1;33;19;104
148;1;27;19;709
149;1;13;19;762
150;1;NULL;20;1290
151;1;2;20;43661
152;1;1;20;11712
153;1;3;20;12484
154;1;4;20;36381
155;1;6;20;967
156;1;33;20;144
157;1;13;20;932
158;1;NULL;21;1357
159;1;2;21;61873
160;1;1;21;12766
161;1;3;21;10805
162;1;4;21;21268
163;1;6;21;1010
164;1;33;21;152
165;1;13;21;876
166;1;NULL;22;1686
167;1;2;22;53958
168;1;1;22;11408
169;1;3;22;14021
170;1;4;22;13914
171;1;6;22;1972
172;1;33;22;261
173;1;27;22;1190
174;1;13;22;1314
175;1;NULL;23;1991
176;1;2;23;46303
177;1;1;23;10727
178;1;3;23;14430
179;1;4;23;11728
180;1;6;23;2111
181;1;19;23;500
182;1;33;23;280
183;1;13;23;1517
184;1;NULL;24;2121
185;1;2;24;33706
186;1;1;24;9314
187;1;3;24;13213
188;1;4;24;14451
189;1;6;24;1886
190;1;33;24;123
191;1;NULL;25;2136
192;1;2;25;73405
193;1;1;25;15470
194;1;3;25;12062
195;1;4;25;11981
196;1;6;25;1862
197;1;33;25;152
198;1;NULL;26;1939
199;1;2;26;42211
200;1;1;26;12283
201;1;3;26;12055
202;1;4;26;9794
203;1;6;26;1911
204;1;33;26;106
205;1;NULL;27;1490
206;1;2;27;55610
207;1;1;27;13840
208;1;3;27;14080
209;1;4;27;21651
210;1;6;27;1548
211;1;33;27;124
212;1;7;27;707
213;1;NULL;28;1821
214;1;2;28;56273
215;1;1;28;16163
216;1;3;28;13751
217;1;4;28;14446
218;1;6;28;2346
219;1;33;28;171
220;1;7;28;1261
221;1;NULL;29;1575
222;1;2;29;51654
223;1;1;29;10426
224;1;3;29;10307
225;1;4;29;8379
226;1;6;29;1828
227;1;33;29;225
228;1;NULL;30;1424
229;1;2;30;62035
230;1;1;30;9946
231;1;3;30;9096
232;1;4;30;9409
233;1;6;30;2349
234;1;19;30;307
235;1;33;30;140
236;1;NULL;31;1550
237;1;2;31;91378
238;1;1;31;13278
239;1;3;31;8195
240;1;4;31;9819
241;1;6;31;1130
242;1;33;31;78
243;1;NULL;32;1425
244;1;2;32;91686
